dates,satname,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0036,nzd0347-0037,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0055,nzd0347-0056,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0066,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070
1999-08-28 21:53:59.920000,L7,539.19,479.13,479.59,360.78,369.45,358.52,361.64,361.66,374.23,375.14,384.89,376.23,372.55,372.28,358.34,353.15,339.20,343.61,357.16,366.45,364.53,371.98,385.38,383.28,374.13,391.08,386.12,380.14,381.58,377.72,398.77,387.36,367.28,363.90,360.15,338.69,397.07,399.99,395.91,394.45,398.46,406.03,400.22,399.83,399.24,385.42,390.28,406.22,404.02,402.14,394.12,399.60,402.71,393.35,395.99,399.11,392.58,402.45,402.88,403.84,407.80,436.32,422.87,430.65,423.41,418.76,403.39,397.79,395.62,390.97,398.50
1999-09-29 21:54:04.102000,L7,472.99,431.61,526.25,398.82,527.57,509.26,447.74,441.43,382.36,377.20,386.06,370.46,374.79,374.23,364.53,353.67,340.25,343.93,389.91,358.39,455.54,458.22,438.96,408.30,387.98,392.16,377.99,400.23,453.18,447.19,390.15,389.80,370.20,364.20,371.51,495.47,496.00,511.64,523.42,532.14,404.66,403.92,400.10,389.93,461.17,480.96,462.37,440.15,458.49,439.10,453.31,425.96,392.50,390.60,397.00,389.20,393.55,399.59,412.33,409.03,409.56,398.97,407.88,410.56,399.76,416.26,393.55,386.62,395.39,386.74,393.66
2000-01-19 21:53:49.771000,L7,418.43,399.06,386.13,381.72,393.32,394.65,399.08,395.12,399.72,404.35,414.17,411.61,400.99,402.43,525.60,519.15,496.35,505.63,517.49,528.76,518.77,410.96,413.50,423.88,422.09,422.42,413.40,411.66,411.42,418.43,416.92,416.31,390.37,408.93,409.17,365.71,264.46,416.89,410.41,421.98,425.02,424.07,512.14,460.90,483.90,486.74,412.05,407.99,415.97,400.86,408.71,412.68,415.34,409.93,406.57,423.89,474.58,416.48,412.54,413.84,413.11,412.38,420.84,412.94,416.34,414.08,401.41,394.14,396.01,399.13,405.69
2000-05-26 21:53:00.524000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.63,224.92,298.01,,,,,,,,172.11,315.63,294.13,295.36,220.83,213.76,210.82,211.39,213.43,211.12,219.09,243.51,243.97,222.78,344.34,254.58,349.68,336.66,367.27,319.88,311.07,269.32,263.20,
2000-07-13 21:52:31.712000,L7,398.66,380.95,370.21,370.47,371.35,367.82,367.23,371.09,387.90,382.71,392.49,381.33,381.70,378.54,375.44,361.92,352.43,357.75,364.02,371.50,366.04,393.45,388.35,405.21,393.78,418.08,389.54,397.76,388.79,388.75,417.38,391.81,384.54,386.38,374.33,356.48,414.95,404.34,395.41,401.94,398.01,502.75,503.72,505.85,382.37,384.17,385.65,385.80,383.35,395.44,404.04,400.59,402.04,470.93,397.74,460.81,396.35,423.66,417.85,412.14,407.34,408.43,412.93,414.87,413.06,407.94,393.77,393.16,393.26,387.59,394.47
2000-07-29 21:52:14.316000,L7,399.77,381.19,368.69,460.43,461.97,485.41,500.22,370.19,389.84,385.84,393.93,383.37,382.09,381.10,373.52,360.23,517.51,493.30,508.67,525.54,508.76,500.18,527.53,399.94,399.66,412.38,392.50,395.99,394.77,397.85,425.96,406.45,392.07,375.26,375.85,348.63,407.17,466.41,465.32,473.43,507.78,529.23,478.76,452.30,396.94,394.18,392.23,391.87,387.28,398.56,405.88,411.76,406.08,403.60,401.61,401.79,403.03,409.53,415.01,529.18,502.46,492.46,477.50,418.20,414.63,409.25,398.02,395.24,392.82,389.95,398.49
2000-08-14 21:52:08.182000,L7,399.83,381.39,367.45,368.86,372.45,363.46,363.63,370.65,377.00,379.68,386.01,376.14,375.65,377.77,368.72,354.72,347.42,351.63,367.47,367.98,368.76,372.24,390.05,394.49,385.53,399.03,393.01,388.79,512.59,527.33,452.81,392.97,372.57,357.74,367.09,330.85,406.19,402.01,397.21,397.82,412.04,425.22,396.59,399.31,402.70,383.19,414.11,426.01,468.00,412.97,399.39,402.05,406.63,396.54,398.39,398.95,393.89,398.79,399.19,399.31,404.91,438.54,316.06,308.14,416.29,404.27,394.38,390.15,394.63,392.99,393.95
2000-11-18 21:51:22.819000,L7,,,,401.66,405.94,398.96,,,,499.51,506.95,391.25,365.74,361.77,361.63,352.24,380.70,379.79,374.57,396.30,383.90,393.79,397.75,402.19,401.32,406.25,407.37,410.90,400.65,457.73,453.01,478.86,502.28,526.37,511.28,401.92,403.53,403.15,414.93,397.31,400.29,402.23,406.90,400.11,382.28,381.61,385.83,382.68,374.03,389.09,397.11,410.18,384.14,386.66,384.31,380.78,377.46,387.11,397.93,537.80,468.68,458.37,466.35,389.33,516.51,468.47,504.36,408.73,512.45,,
2000-12-04 21:51:22.024000,L7,,,,,291.62,214.21,267.17,224.65,173.51,295.98,303.57,,,,,,,268.89,264.05,295.83,252.53,234.69,259.67,222.86,302.10,317.58,328.14,323.77,311.44,301.43,157.75,271.60,289.51,283.82,267.22,200.62,,347.15,324.39,317.83,,,,,,304.50,195.03,314.49,319.53,335.66,324.98,316.83,319.46,302.01,305.30,281.21,237.65,207.94,214.70,354.10,354.71,353.77,360.97,364.05,377.01,374.71,360.79,273.29,,,
2001-01-05 21:51:28.457000,L7,481.62,486.74,480.26,497.24,467.46,462.38,,,,,,517.63,489.95,468.37,490.87,454.79,468.58,485.88,512.46,521.16,509.16,480.45,491.02,478.20,488.33,510.14,521.02,501.52,496.52,475.02,453.38,469.27,480.81,502.48,461.85,470.64,510.69,495.14,478.82,518.68,523.27,510.68,506.05,493.36,495.86,475.91,504.78,511.17,500.62,529.26,,,,,,,498.97,519.82,502.87,474.75,521.49,489.69,477.80,477.45,489.10,,490.78,471.27,505.41,447.04,436.67
