dates,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0036,nzd0347-0037,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0055,nzd0347-0056,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0066,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070,satname
1999-08-28 21:53:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-19 21:53:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.69,264.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-26 21:53:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.46,243.63,,298.01,,,,,,,,,315.63,,295.36,,,,,213.43,211.12,219.09,243.51,,,,,,336.66,,,311.07,,263.2,,L7
2000-08-14 21:52:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.85,,243.63,,298.01,,,,,,,,,315.63,,295.36,,,,,213.43,211.12,219.09,243.51,,,,316.06,308.14,336.66,,,311.07,,263.2,,L7
2000-12-04 21:51:22+00:00,,,,,291.62,,,,,295.98,,,,,,,,268.89,,,252.53,,,,302.1,317.58,328.14,323.77,311.44,301.43,,,,283.82,267.22,330.85,,,,317.83,,,,,,304.5,,314.49,319.53,335.66,324.98,,,,,,,,,,,,316.06,308.14,,,,,,,,L7
2001-04-27 21:51:07+00:00,,,,,291.62,,,,,295.98,,,,,,,,268.89,,,252.53,,,,302.1,317.58,328.14,323.77,311.44,301.43,,,,283.82,267.22,,249.36,283.28,,317.83,,,,,,304.5,,314.49,319.53,335.66,324.98,,,,,,,,,329.82,288.82,,,,,325.46,,,,,,L7
2001-05-13 21:50:57+00:00,,,,,291.62,,,,,295.98,,,,,,,,268.89,339.63,339.55,252.53,,,,302.1,317.58,328.14,323.77,311.44,301.43,,,360.33,283.82,267.22,,249.36,283.28,,317.83,,,,,,304.5,,314.49,319.53,335.66,324.98,,,,,,,,,329.82,288.82,,,,,325.46,,,,,,L7
2001-06-14 21:50:38+00:00,,,,,,,,,,,,,,,,,,,339.63,339.55,,,,,,,,,,,,,360.33,,,345.56,249.36,283.28,,,,,,,,,,,,,,,,,,,,,,329.82,288.82,,,,,325.46,,,,,,L7
2001-09-18 21:49:29+00:00,,,,,,,,,,,,,,,,,,,339.63,339.55,,,,,,,,,,,,,360.33,,,345.56,249.36,283.28,,,,,,,,,,,,,,,,,,,,,,328.135,303.875,,337.78,337.09,334.58,325.46,,,,,,L7
2002-02-25 21:49:59+00:00,,,,,,,,,,,,,,,,,286.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.45,318.93,,337.78,337.09,334.58,,,,,,,L7
2002-07-19 21:49:21+00:00,,,,,,,,,,,,,,,,,286.24,,,,,,,,,,,,,,,,,,,316.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-08-20 21:49:10+00:00,,,,,,,,,,,,,,,,,286.24,,,,,344.79,,,,,,,,,,,,,,311.32000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.59,,,L7
