dates,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0037,nzd0279-0038,nzd0279-0050,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0061,nzd0279-0080,satname
1999-08-21 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.22,,310.92,,325.33,314.6,291.52,,300.51,294.39,,314.53,,,315.03,312.26,324.93,320.72,332.18,335.28,320.62,209.2,261.94,354.99,328.58,,364.54,,,369.26,,,,,,,,,,,L7
1999-09-22 21:47:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,317.07,,312.95,298.69,,325.7,,321.83,,242.44,,,,342.9,371.13,315.82500000000005,345.46,318.36,,332.42999999999995,314.57000000000005,307.03499999999997,311.49,304.825,303.82,318.69,314.53,,,317.455,317.48,324.53,323.43,335.57,340.40999999999997,327.86,210.195,273.47,361.345,344.6,379.87,375.74,381.94,,369.26,,309.74,,304.79,307.91,309.56,326.62,310.47,,,L7
1999-10-24 21:46:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,317.07,,312.95,298.69,,325.7,,321.83,,242.44,,,,342.9,371.13,328.79,352.03,318.36,,332.42999999999995,314.57000000000005,307.03499999999997,311.49,304.825,303.82,318.69,314.53,,,317.455,317.48,324.53,323.43,335.57,340.40999999999997,327.86,210.195,273.47,361.345,344.6,379.87,375.74,381.94,,369.26,,309.74,,304.79,307.91,309.56,326.62,310.47,,,L7
2000-02-13 21:46:48+00:00,,,,,,,,,,,,,,,,,,,,,,,305.72,315.33,316.89,302.88,302.405,298.05,298.255,296.96500000000003,280.15,322.695,,321.83,,242.44,,312.31,,332.09,356.66499999999996,325.385,352.03,318.36,,332.42999999999995,309.77333333333337,307.03499999999997,311.49,304.825,303.82,318.69,314.53,,,317.455,317.48,324.53,323.43,335.57,340.40999999999997,327.86,210.195,273.47,361.345,344.6,379.87,375.74,381.94,,369.26,,309.74,,304.79,307.91,309.56,326.62,310.47,,,L7
2000-05-19 21:46:07+00:00,,,,,,,,,,,,,,,,,,,,,,,305.72,315.33,316.89,302.88,287.74,298.05,283.56,309.3,280.15,319.69,,,,251.46,,312.31,,321.28,342.2,315.17,,,,,300.18,332.16,323.7,320.73,326.98,325.37,324.2,327.78,332.44,,331.99,331.61,330.01,344.94,347.04,351.83,220.79,,367.52,374.87,385.81,379.03,375.3,376.26,377.56,,,,315.49,328.86,331.33,333.67,324.88,327.58,365.79,L7
2000-08-07 21:45:08+00:00,,,,,,,,,,,,,,,,,,,,,,,308.345,324.15999999999997,316.89,314.46000000000004,296.635,303.885,281.78999999999996,310.2866666666667,292.695,319.69,,319.25,,251.46,,298.85,234.82,334.845,351.0,334.04,342.47,294.86,342.24,332.12,301.145,332.16,318.19,313.115,309.02,317.53999999999996,311.625,326.225,327.62,320.84,325.63,326.815,330.54999999999995,341.87,345.185,351.77,220.79,,367.52,374.87,385.81,379.03,375.3,376.26,377.56,288.77,330.4,,306.76,323.675,324.80499999999995,329.24,315.96500000000003,324.77,365.79,L7
2000-12-13 21:44:28+00:00,,,,,,,,,,,,,,,,,,,,,,,321.93,332.99,330.02,326.04,312.57,316.96000000000004,296.77,318.64,317.315,333.88,260.1,319.25,288.75,,299.76,285.39,234.82,348.48,359.8,353.74,344.87,311.1,342.58500000000004,331.01,312.805,329.99,316.5,305.5,303.82,315.38,307.855,325.39,324.93,320.84,307.98,323.01,328.345,331.145,340.67999999999995,351.71,218.48,266.22,363.44,368.14,372.5,370.61,364.74,370.26,366.62,289.475,333.9,,294.605,319.135,314.575,324.08000000000004,314.975,321.96,347.93,L7
2001-04-04 21:44:06+00:00,,,,,,,,,,,,,,,,,,,,,,,332.89,,330.02,,319.61,324.2,313.52,325.02,319.475,311.74,256.115,,288.75,,299.76,337.08,204.08,350.21000000000004,361.83,354.85,345.06,328.79499999999996,341.15999999999997,326.145,319.40999999999997,328.83500000000004,323.2,318.35,317.27,321.05,316.66,326.11,327.06,,310.28999999999996,325.88,324.47,331.6,338.66999999999996,350.63,215.3,271.235,362.70500000000004,367.74,376.925,369.71500000000003,365.85,368.82,367.025,285.055,340.195,,300.52,320.77,320.26,327.645,321.79999999999995,,355.39,L7
2001-04-20 21:44:10+00:00,,,,,,,,,,,,,,,,,,,,,,,332.89,,330.02,,319.61,324.2,313.52,325.02,319.475,311.74,256.115,326.03,292.02,,299.76,338.095,203.455,351.4533333333334,361.83,354.9266666666667,345.8066666666667,327.13,341.2866666666667,329.46999999999997,321.09,328.83500000000004,323.2,318.35,303.07,321.05,297.21500000000003,326.11,327.06,293.18,310.28999999999996,327.71,325.2866666666667,334.8833333333333,342.1466666666667,351.115,216.2733333333333,279.58,362.7833333333333,368.24,376.26666666666665,371.81333333333333,366.73,369.75333333333333,367.025,286.31,340.195,,306.75666666666666,320.24333333333334,323.12666666666667,323.2166666666667,324.18,,358.31666666666666,L7
2001-05-22 21:43:54+00:00,,,,,,,,,,,,,,,,,,,,,,,332.89,,330.02,,319.61,324.2,313.52,325.02,319.475,311.74,256.115,326.03,292.02,,299.76,348.2366666666667,203.455,351.4533333333334,361.83,354.9266666666667,351.27,327.13,341.2866666666667,329.46999999999997,321.09,328.83500000000004,327.08,328.345,303.07,321.05,297.21500000000003,326.11,335.155,318.52,322.92,332.51,333.105,334.8833333333333,342.1466666666667,351.115,216.2733333333333,278.58500000000004,362.7833333333333,372.075,380.81,376.6425,371.315,373.685,367.025,286.31,340.195,,306.75666666666666,320.24333333333334,323.12666666666667,323.2166666666667,324.18,,358.31666666666666,L7
