dates,satname,nzd0571-0000,nzd0571-0001,nzd0571-0002,nzd0571-0003,nzd0571-0004,nzd0571-0005,nzd0571-0007,nzd0571-0008,nzd0571-0009,nzd0571-0010,nzd0571-0011,nzd0571-0012,nzd0571-0013,nzd0571-0014,nzd0571-0015,nzd0571-0016,nzd0571-0006
1999-08-26 22:05:56.841000,L7,173.70,173.02,173.41,171.50,177.62,166.66,145.67,179.58,187.31,47.72,60.96,59.11,31.41,192.53,188.84,184.45,
1999-09-27 22:06:00.877000,L7,228.16,230.78,218.93,225.69,228.29,233.57,226.00,232.93,226.93,234.05,226.24,236.38,229.64,232.84,229.74,227.27,229.37
1999-11-30 22:05:47.159000,L7,181.48,178.58,178.44,183.92,188.03,194.47,196.58,202.31,211.39,209.23,213.15,207.26,213.84,218.49,211.87,286.93,194.51
1999-12-16 22:05:57.846000,L7,218.14,214.46,213.36,209.70,209.36,209.20,213.81,208.19,218.20,211.78,214.51,212.56,215.85,220.73,211.84,216.39,211.06
2000-03-05 22:05:36.285000,L7,178.58,176.84,179.43,178.66,181.67,189.11,180.98,181.46,187.60,168.68,190.67,175.83,171.53,193.58,170.50,174.79,186.44
2000-03-21 22:05:37.143000,L7,230.41,230.94,217.65,220.05,221.70,232.84,228.21,228.97,226.23,233.74,223.95,231.78,222.33,232.50,234.03,226.03,229.66
2000-05-08 22:05:09.063000,L7,221.67,221.59,213.40,215.30,215.48,245.23,212.53,213.48,220.59,210.68,221.35,214.63,221.10,225.61,215.31,220.60,227.57
2000-05-24 22:04:58.537000,L7,122.52,111.23,146.28,87.04,83.67,,66.85,166.18,176.19,159.07,148.76,153.48,169.57,175.71,169.99,147.88,
2000-08-12 22:04:05.961000,L7,203.79,194.31,200.09,189.44,198.84,195.67,204.67,197.61,203.35,200.19,202.11,197.89,202.45,199.68,199.73,193.04,201.89
2000-09-13 22:03:38.044000,L7,186.85,181.67,180.87,184.05,188.18,193.96,191.23,190.84,188.24,191.09,186.40,194.53,195.73,194.49,188.97,185.81,185.65
2000-10-15 22:03:08.086000,L7,248.94,242.35,241.93,238.47,242.01,251.64,280.25,243.13,247.10,251.17,249.67,237.68,248.80,267.45,255.50,228.12,260.54
2000-10-31 22:03:22.696000,L7,,211.12,216.02,215.96,216.58,223.30,220.11,216.29,220.04,215.21,217.58,218.19,223.63,241.70,239.02,220.53,221.54
2001-01-03 22:03:24.303000,L7,218.95,214.07,213.95,212.46,214.07,211.84,215.45,210.80,216.37,211.40,217.11,211.16,217.85,222.46,210.83,204.85,218.09
2001-01-19 22:03:31.103000,L7,219.53,215.14,208.34,210.78,215.29,218.13,217.98,213.03,216.98,214.63,219.12,226.54,214.99,224.11,215.60,217.69,218.05
2001-02-20 22:03:24.667000,L7,174.53,176.69,193.35,192.15,198.14,192.02,195.54,192.34,201.23,187.03,200.42,195.78,181.32,189.91,187.82,174.13,192.62
2001-05-27 22:02:48.377000,L7,184.15,145.53,174.52,179.75,188.21,183.88,181.77,190.09,186.43,176.89,164.88,185.02,191.90,179.47,194.93,184.61,178.99
2001-06-28 22:02:21.050000,L7,220.56,211.05,208.33,207.41,212.55,230.50,211.96,208.67,213.71,214.75,214.79,209.94,225.34,261.21,220.59,216.10,222.05
2001-07-14 22:02:21.695000,L7,134.48,101.64,173.52,180.17,128.14,176.25,180.96,95.03,178.52,178.67,179.74,179.55,172.71,166.01,164.66,169.93,
2001-08-15 22:01:50.547000,L7,210.22,194.46,200.29,201.00,216.81,202.81,209.90,222.64,216.64,213.51,213.79,230.02,240.67,202.96,202.11,200.09,213.92
2001-10-02 22:01:16.521000,L7,234.13,240.65,225.02,228.14,227.97,234.55,225.76,232.78,226.56,234.40,222.24,233.00,236.17,231.93,226.07,223.71,232.47
2002-01-22 22:01:52.791000,L7,221.80,216.02,214.97,214.23,215.81,224.43,222.27,232.27,222.81,230.40,221.85,236.93,233.21,240.39,236.98,221.89,224.57
2002-03-11 22:01:55.664000,L7,240.22,232.01,235.93,232.07,236.46,235.03,241.19,237.40,237.34,237.74,245.09,235.54,252.72,248.20,245.40,229.12,233.67
