dates,satname,nzd0098-0000,nzd0098-0001,nzd0098-0002
1999-08-26 22:04:44.971000,L7,333.10,332.92,336.78
1999-09-27 22:04:48.949000,L7,341.25,335.49,337.92
1999-11-14 22:04:42.286000,L7,342.93,333.05,340.08
2000-01-01 22:04:37.439000,L7,343.64,302.87,327.45
2000-01-17 22:04:35.821000,L7,349.95,344.77,349.78
2000-05-24 22:03:46.662000,L7,325.04,329.74,314.55
2000-07-11 22:03:17.779000,L7,299.49,285.96,225.68
2000-08-12 22:02:54.094000,L7,337.57,335.98,337.22
2000-10-15 22:01:56.204000,L7,347.81,332.85,339.09
2001-01-03 22:02:12.432000,L7,342.83,342.18,348.95
2001-03-24 22:01:59.719000,L7,342.04,328.38,329.26
2001-06-12 22:01:24.980000,L7,335.66,320.24,316.71
2001-08-15 22:00:38.680000,L7,336.52,343.79,348.44
2001-10-02 22:00:04.650000,L7,338.06,344.09,351.13
2001-12-21 22:00:29.925000,L7,404.46,392.23,379.89
2002-01-06 22:00:31.992000,L7,402.22,382.70,376.37
2002-01-22 22:00:40.906000,L7,342.72,343.30,348.82
2002-02-23 22:00:43.620000,L7,423.75,,379.17
2002-03-27 22:00:37.575000,L7,336.59,329.02,335.56
2002-06-15 22:00:19.658000,L7,366.97,341.12,336.60
2002-07-17 22:00:08.747000,L7,320.48,303.34,330.84
2002-08-02 22:00:01.321000,L7,335.84,328.06,339.74
2002-08-18 21:59:57.690000,L7,322.61,335.47,346.86
2002-12-24 22:00:09.147000,L7,338.96,328.42,333.70
2003-03-30 22:00:31.029000,L7,553.83,393.04,375.66
2003-09-14 21:49:18.766000,L5,326.69,318.00,316.51
2003-09-30 21:49:30.432000,L5,324.16,311.42,305.42
2003-12-03 21:50:19.675000,L5,337.51,314.87,312.97
2004-07-30 21:54:28.143000,L5,338.21,317.63,317.16
2005-02-23 21:58:31.621000,L5,318.17,306.02,313.30
2005-03-11 21:58:44.158000,L5,324.13,315.70,317.50
2005-07-17 21:59:35.576000,L5,324.11,313.27,312.31
2005-09-19 21:59:56.928000,L5,313.47,306.24,306.76
2005-11-22 22:00:23.113000,L5,320.74,306.99,297.35
2006-05-17 22:03:57.969000,L5,,303.32,304.37
2006-10-24 22:06:02.805000,L5,224.12,301.86,311.84
2006-11-25 22:06:19.953000,L5,325.60,329.36,344.59
2006-12-11 22:06:28.205000,L5,353.81,381.09,416.82
2009-02-02 21:57:22.411000,L5,325.55,315.73,318.79
2011-01-07 22:01:44.406000,L5,330.28,309.49,314.11
2011-03-12 22:01:43.554000,L5,330.89,311.15,314.20
2011-04-13 22:01:34.017000,L5,333.37,314.58,322.15
2013-05-20 22:13:50.559000,L8,329.83,331.58,338.21
2013-06-05 22:13:51.261000,L8,323.14,300.09,328.44
2013-06-21 22:13:43.313000,L8,331.99,330.19,342.43
2013-07-07 22:13:48.209000,L8,331.92,330.89,336.67
2013-10-11 22:13:41.596000,L8,329.16,329.41,337.91
2013-10-27 22:13:31.854000,L8,399.93,360.93,361.36
2013-11-12 22:13:32.202000,L8,341.41,336.05,346.42
2013-11-28 22:13:25.971000,L8,330.16,325.05,335.81
2013-12-14 22:13:21.591000,L8,341.79,335.58,346.89
2014-01-31 22:12:52.806000,L8,381.09,355.60,357.92
2014-03-20 22:12:13.789000,L8,322.48,311.08,322.84
2014-04-05 22:11:58.702000,L8,276.53,301.81,318.26
2014-07-26 22:11:43.162000,L8,325.74,328.02,339.18
2014-08-11 22:11:51.972000,L8,,295.63,320.85
2014-10-14 22:12:02.705000,L8,326.56,330.75,342.56
2014-10-30 22:11:58.859000,L8,325.48,310.66,314.46
2014-12-01 22:12:00.318000,L8,333.51,332.13,342.80
2015-04-24 22:11:08.401000,L8,328.11,326.23,331.45
2015-05-10 22:10:52.487000,L8,327.80,328.89,332.43
2015-07-29 22:11:25.856000,L8,331.07,331.63,342.60
2015-12-20 22:11:57.501000,L8,332.10,315.27,338.18
2016-01-21 22:11:54.068000,L8,329.35,323.83,337.33
2016-02-22 22:11:42.580000,L8,331.84,325.86,332.03
2016-03-09 22:11:40.902000,L8,334.44,328.96,333.43
2016-03-25 22:11:32.353000,L8,332.08,328.75,336.81
2016-04-26 22:11:21.230000,L8,334.36,331.53,336.66
2016-05-12 22:11:20.683000,L8,331.56,330.96,333.21
2016-06-13 22:11:30.674000,L8,336.12,337.14,341.77
2016-07-15 22:11:46.335000,L8,333.75,326.12,326.26
2016-08-16 22:11:53.694000,L8,333.41,330.56,338.78
2016-11-20 22:12:09.409000,L8,332.56,327.67,335.64
2017-06-16 22:11:31.847000,L8,340.74,333.18,335.23
2017-07-18 22:11:40.412000,L8,,326.09,316.54
2017-08-03 22:11:47.949000,L8,,281.48,189.00
2017-08-19 22:11:53.133000,L8,323.81,,
2018-01-10 22:11:54.118000,L8,331.19,324.83,340.28
2018-01-26 22:11:45.215000,L8,335.95,323.80,339.29
2018-04-16 22:11:06.667000,L8,329.07,325.12,316.64
2018-05-02 22:10:57.873000,L8,336.61,329.35,333.93
2018-07-05 22:10:54.795000,L8,337.81,331.01,334.12
2018-08-06 22:11:10.291000,L8,332.02,329.50,331.71
2018-09-07 22:11:24.397000,L8,341.43,336.00,346.18
2019-02-14 22:11:33.473000,L8,333.09,307.27,339.44
2019-03-02 22:11:29.304000,L8,336.01,328.58,340.88
2019-06-22 22:11:40.996000,L8,336.06,328.93,335.30
2019-07-08 22:11:44.725000,L8,284.33,,
2019-07-24 22:11:48.987000,L8,304.71,326.08,331.22
2019-08-09 22:11:55.358000,L8,335.90,329.36,337.65
2020-01-16 22:11:59.041000,L8,328.29,308.06,338.67
2020-02-01 22:11:53.781000,L8,320.86,329.28,341.49
2020-04-21 22:11:21.823000,L8,329.09,328.17,337.40
2020-05-07 22:11:12.613000,L8,338.84,332.06,341.64
2020-07-10 22:11:39.723000,L8,338.16,335.20,337.60
2020-07-26 22:11:44.648000,L8,201.01,335.15,340.90
2020-12-17 22:12:09.375000,L8,342.60,335.01,344.67
2021-02-03 22:11:56.237000,L8,325.63,295.73,324.23
